,SchoolYear,OrganizationLevel,DistrictName,StudentGroupType,StudentGroup,Domain,PreparedForK_Percent
0,2019-20,State,State Total,All,All Students,Cognitive,0.7550
1,2019-20,State,State Total,All,All Students,Language,0.7550
2,2019-20,State,State Total,All,All Students,Literacy,0.7900
3,2019-20,State,State Total,All,All Students,Math,0.6820
4,2019-20,State,State Total,All,All Students,NumberofDomains,
5,2019-20,State,State Total,All,All Students,Spanish Language,
6,2019-20,State,State Total,All,All Students,Spanish Literacy,
7,2019-20,State,State Total,All,All Students,Physical,0.8610
8,2019-20,State,State Total,All,All Students,SocialEmotional,0.7900
9,2019-20,State,State Total,Bilingual,English Language Learners,Cognitive,0.6530
10,2019-20,State,State Total,Bilingual,English Language Learners,Language,0.5980
11,2019-20,State,State Total,Bilingual,English Language Learners,Literacy,0.6520
12,2019-20,State,State Total,Bilingual,English Language Learners,Math,0.5190
13,2019-20,State,State Total,Bilingual,English Language Learners,NumberofDomains,
14,2019-20,State,State Total,Bilingual,English Language Learners,Spanish Language,
15,2019-20,State,State Total,Bilingual,English Language Learners,Spanish Literacy,
16,2019-20,State,State Total,Bilingual,English Language Learners,Physical,0.8370
17,2019-20,State,State Total,Bilingual,English Language Learners,SocialEmotional,0.7520
18,2019-20,State,State Total,Bilingual,Non-English Language Learners,Cognitive,0.7790
19,2019-20,State,State Total,Bilingual,Non-English Language Learners,Language,0.7910
20,2019-20,State,State Total,Bilingual,Non-English Language Learners,Literacy,0.8210
21,2019-20,State,State Total,Bilingual,Non-English Language Learners,Math,0.7210
22,2019-20,State,State Total,Bilingual,Non-English Language Learners,NumberofDomains,
23,2019-20,State,State Total,Bilingual,Non-English Language Learners,Spanish Language,
24,2019-20,State,State Total,Bilingual,Non-English Language Learners,Spanish Literacy,
25,2019-20,State,State Total,Bilingual,Non-English Language Learners,Physical,0.8670
26,2019-20,State,State Total,Bilingual,Non-English Language Learners,SocialEmotional,0.7990
27,2019-20,State,State Total,FederalRaceEthnicity,American Indian/ Alaskan Native,Cognitive,0.6270
28,2019-20,State,State Total,FederalRaceEthnicity,American Indian/ Alaskan Native,Language,0.6270
29,2019-20,State,State Total,FederalRaceEthnicity,American Indian/ Alaskan Native,Literacy,0.6220
30,2019-20,State,State Total,FederalRaceEthnicity,American Indian/ Alaskan Native,Math,0.5060
31,2019-20,State,State Total,FederalRaceEthnicity,American Indian/ Alaskan Native,NumberofDomains,
32,2019-20,State,State Total,FederalRaceEthnicity,American Indian/ Alaskan Native,Physical,0.7920
33,2019-20,State,State Total,FederalRaceEthnicity,American Indian/ Alaskan Native,SocialEmotional,0.6920
34,2019-20,State,State Total,FederalRaceEthnicity,American Indian/ Alaskan Native,Spanish Language,
35,2019-20,State,State Total,FederalRaceEthnicity,Asian,Cognitive,0.8130
